(20 , 19)
(40 , 90)
(81 , 73)
(92 , 106)
(130 , 91)
(137 , 109)
(181 , 93)
(222 , 228)
(143 , 261)
(157 , 307)
(124 , 321)
(139 , 369)
(172 , 353)
(206 , 466)
(283 , 436)
(299 , 487)
(338 , 471)
(336 , 458)
(349 , 447)
(350 , 453)
(377 , 445)
(385 , 475)
(491 , 366)
(464 , 337)
(423 , 326)
(407 , 295)
(410 , 289)
(401 , 272)
(406 , 260)
(402 , 251)
(385 , 241)
(390 , 201)
(358 , 182)
(359 , 224)
(342 , 229)
(295 , 196)
(270 , 164)
(273 , 135)
(186 , 58)
(157 , 65)
(108 , 38)
(101 , 46)
(84 , 27)
(54 , 27)
(43 , 33)
(24 , 19)
