( 474,255 )
( 493,300 )
( 478,306 )
( 480,315 )
( 486,320 )
( 473,318 )
( 467,319 )
( 466,324 )
( 458,326 )
( 450,315 )
( 450,308 )
( 440,308 )
( 429,289 )
( 410,294 )
( 399,251 )
( 403,251 )
( 409,258 )
( 417,259 )
( 426,256 )
( 429,263 )
( 447,257 )
( 458,256 )
( 457,249 )
( 463,244 )
( 468,242 )
( 478,242 )
( 485,238 )
( 488,238 )
( 490,250 )
( 477,254 )
