(699 , 413)
(714 , 463)
(660 , 501)
(707 , 598)
(724 , 599)
(747 , 578)
(760 , 572)
(768 , 559)
(779 , 558)
(796 , 539)
(814 , 526)
(837 , 521)
(847 , 530)
(867 , 526)
(873 , 520)
(884 , 519)
(898 , 511)
(908 , 500)
(911 , 489)
(920 , 475)
(930 , 471)
(936 , 468)
(934 , 465)
(947 , 455)
(919 , 417)
(938 , 317)
(925 , 316)
(916 , 304)
(905 , 308)
(892 , 299)
(883 , 296)
(876 , 289)
(857 , 296)
(848 , 294)
(844 , 288)
(809 , 287)
(794 , 304)
(763 , 313)
(744 , 310)
(726 , 321)
(726 , 326)
(719 , 330)
(740 , 392)
(698 , 411)
