( 610,90 )
( 627,85 )
( 645,119 )
( 677,106 )
( 680,106 )
( 687,123 )
( 701,116 )
( 702,108 )
( 718,103 )
( 744,148 )
( 781,116 )
( 793,128 )
( 808,119 )
( 808,119 )
( 838,142 )
( 856,128 )
( 872,143 )
( 901,119 )
( 906,111 )
( 914,109 )
( 921,107 )
( 932,108 )
( 942,103 )
( 950,96 )
( 952,89 )
( 954,86 )
( 961,84 )
( 968,77 )
( 967,75 )
( 954,64 )
( 956,29 )
( 940,31 )
( 930,27 )
( 922,30 )
( 912,29 )
( 902,27 )
( 896,33 )
( 888,37 )
( 873,37 )
( 866,40 )
( 865,47 )
( 851,52 )
( 833,61 )
( 828,64 )
( 817,71 )
( 810,72 )
( 797,61 )
( 786,61 )
( 777,58 )
( 767,62 )
( 765,68 )
( 753,64 )
( 733,59 )
( 724,51 )
( 726,44 )
( 723,38 )
( 716,37 )
( 714,25 )
( 705,20 )
( 699,22 )
( 700,30 )
( 698,36 )
( 663,23 )
( 657,14 )
( 655,6 )
( 622,5 )
( 624,16 )
( 639,40 )
( 609,56 )
( 609,57 )
( 614,72 )
( 602,78 )
( 609,88 )
