( 328,339 )
( 320,358 )
( 333,368 )
( 333,381 )
( 357,376 )
( 363,384 )
( 384,379 )
( 385,374 )
( 391,375 )
( 393,367 )
( 403,365 )
( 405,358 )
( 409,358 )
( 396,345 )
( 411,324 )
( 413,323 )
( 393,307 )
( 380,318 )
( 369,310 )
( 364,304 )
( 361,293 )
( 361,285 )
( 366,285 )
( 368,284 )
( 364,275 )
( 368,269 )
( 359,261 )
( 316,274 )
( 317,291 )
( 303,294 )
( 306,315 )
( 320,316 )
( 322,316 )
( 317,331 )
( 327,337 )
